PatchId,FileName,FullPath,CompletedDate
67,2022_08_16_sd_CodeValue_CodeSet_Data.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_16_sd_CodeValue_CodeSet_Data.sql,2022-08-16 13:32:10.930
68,2022_08_10_1_CREATE_MarketPlatformInstrumentSubtype.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_10_1_CREATE_MarketPlatformInstrumentSubtype.sql,2022-09-07 13:57:14.657
69,2022_08_10_2_sd_CodeValue_CodeSet_Data.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_10_2_sd_CodeValue_CodeSet_Data.sql,2022-09-07 13:57:15.553
70,2022_08_10_3_ValidateCodeSets_VolumeDistributionType_ContractPricingMethod.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_10_3_ValidateCodeSets_VolumeDistributionType_ContractPricingMethod.sql,2022-09-07 13:57:15.783
71,2022_08_10_4_Seed_Forward_MarketPlatformInstrumentSubtypes.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_10_4_Seed_Forward_MarketPlatformInstrumentSubtypes.sql,2022-09-07 13:57:15.987
72,2022_08_10_5_ALTER_TRADEENTRY_ADD_MarketPlatformInstrumentSubtypeId.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_10_5_ALTER_TRADEENTRY_ADD_MarketPlatformInstrumentSubtypeId.sql,2022-09-07 13:57:16.187
73,2022_08_10_CREATE_TABLE_QuantityDistributionWeight.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_10_CREATE_TABLE_QuantityDistributionWeight.sql,2022-09-07 13:57:16.370
74,2022_08_15_DROP_TradeEntrySetupProperty.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_15_DROP_TradeEntrySetupProperty.sql,2022-09-07 13:57:16.507
75,2022_08_16_UPDATE_MenuIItem_HeatingDayMaintenance_Url.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_16_UPDATE_MenuIItem_HeatingDayMaintenance_Url.sql,2022-09-07 13:57:16.640
76,2022_08_17_DELETE_TradeEntrySetupPropertyEntityRegister.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_17_DELETE_TradeEntrySetupPropertyEntityRegister.sql,2022-09-07 13:57:16.787
